Tỉnh	Vị trí	Nhiệt độ	Độ ẩm	Tốc độ gió	Áp suất	Ngày giờ	VN_AQI	CO	NO2	O3	PM-10	PM-2-5	SO2	Miền
Ðà Nẵng	('16.074', '108.217')	26.0	70	1.55	1006	04/07/2021 02:00	30	1.0	11.0	8.0	17.0	21.0	30.0	2
Ðà Nẵng	('16.074', '108.217')	34.0	54	1.55	1003	05/07/2021 14:00	32	4.0	11.0	29.0	26.0	32.0	28.0	2
Ðà Nẵng	('16.074', '108.217')	35.0	57	2.68	1002	05/07/2021 13:00	33	3.0	11.0	30.0	28.0	33.0	32.0	2
Ðà Nẵng	('16.074', '108.217')	28.0	85	4.68	1005	06/07/2021 07:00	50	3.0	11.0	10.0	32.0	50.0	30.0	2
Ðà Nẵng	('16.074', '108.217')	28.0	79	3.33	1003	06/07/2021 06:00	59	4.0	11.0	8.0	37.0	59.0	29.0	2
Ðà Nẵng	('16.074', '108.217')	27.0	81	4.21	1005	06/07/2021 05:00	60	2.0	10.0	9.0	37.0	60.0	28.0	2
Ðà Nẵng	('16.074', '108.217')	25.0	79	3.18	1004	06/07/2021 04:00	65	2.0	11.0	10.0	40.0	65.0	28.0	2
Ðà Nẵng	('16.074', '108.217')	27.0	80	2.12	1003	06/07/2021 03:00	41	1.0	11.0	11.0	23.0	41.0	28.0	2
Ðà Nẵng	('16.074', '108.217')	29.0	74	0.52	1003	06/07/2021 18:00	28	10.0	11.0	13.0	19.0	28.0	27.0	2
Ðà Nẵng	('16.074', '108.217')	28.0	79	1.18	1004	06/07/2021 17:00	30	9.0	11.0	14.0	21.0	30.0	26.0	2
Gia Lai	('13.998599', '107.996482')	20.41	94	1.14	1010	04/07/2021 07:00	48	5.0	13.0	3.0	38.0	48.0	15.0	2
Gia Lai	('13.998599', '107.996482')	20.61	94	1.24	1009	04/07/2021 06:00	39	6.0	13.0	1.0	32.0	39.0	15.0	2
Gia Lai	('13.998599', '107.996482')	19.51	95	1.13	1010	04/07/2021 05:00	36	4.0	11.0	1.0	29.0	36.0	15.0	2
Gia Lai	('13.998599', '107.996482')	19.1	95	1.24	1009	04/07/2021 04:00	28	2.0	11.0	1.0	21.0	28.0	14.0	2
Gia Lai	('13.998599', '107.996482')	18.41	96	1.3	1011	04/07/2021 03:00	32	1.0	7.0	2.0	23.0	32.0	14.0	2
Gia Lai	('13.998599', '107.996482')	18.5	94	1.14	1010	04/07/2021 02:00	44	1.0	7.0	2.0	30.0	44.0	14.0	2
Gia Lai	('13.998599', '107.996482')	23.5	83	1.5	1007	05/07/2021 14:00	24	3.0	8.0	11.0	24.0	24.0	13.0	2
Gia Lai	('13.998599', '107.996482')	23.1	88	1.39	1006	05/07/2021 13:00	23	2.0	4.0	14.0	23.0	23.0	13.0	2
Gia Lai	('13.998599', '107.996482')	21.04	95	2.01	1008	06/07/2021 07:00	15	4.0	9.0	8.0	11.0	10.0	15.0	2
Gia Lai	('13.998599', '107.996482')	20.1	96	2.12	1008	06/07/2021 06:00	15	1.0	5.0	11.0	7.0	7.0	15.0	2
Gia Lai	('13.998599', '107.996482')	19.51	96	3.01	1006	06/07/2021 05:00	15	1.0	3.0	13.0	6.0	6.0	15.0	2
Gia Lai	('13.998599', '107.996482')	19.1	99	2.31	1007	06/07/2021 04:00	15	1.0	3.0	14.0	4.0	6.0	15.0	2
Gia Lai	('13.998599', '107.996482')	19.42	98	2.78	1006	06/07/2021 03:00	15	1.0	2.0	15.0	4.0	5.0	15.0	2
Gia Lai	('13.998599', '107.996482')	21.23	96	2.77	1006	06/07/2021 18:00	15	4.0	8.0	8.0	15.0	15.0	14.0	2
Gia Lai	('13.998599', '107.996482')	22.42	95	2.52	1004	06/07/2021 17:00	14	3.0	7.0	10.0	14.0	14.0	14.0	2
Hà Nội	('21.0491', '105.8831')	32.01	64	1.32	1003	04/07/2021 07:00	28	8.0	11.0	28.0	14.0	19.0	8.0	1
Hà Nội	('21.0491', '105.8831')	31.51	68	2.02	1002	04/07/2021 06:00	23	6.0	11.0	22.0	17.0	23.0	8.0	1
Hà Nội	('21.0491', '105.8831')	30.01	68	3.62	1002	04/07/2021 05:00	22	3.0	11.0	14.0	17.0	22.0	8.0	1
Hà Nội	('21.0491', '105.8831')	29.91	71	3.32	1003	04/07/2021 04:00	19	3.0	11.0	14.0	14.0	19.0	8.0	1
Hà Nội	('21.0491', '105.8831')	29.31	72	4.52	1002	04/07/2021 03:00	16	2.0	11.0	14.0	13.0	16.0	8.0	1
Hà Nội	('21.0491', '105.8831')	29.01	72	4.52	1003	04/07/2021 02:00	15	2.0	11.0	15.0	13.0	15.0	8.0	1
Hà Nội	('21.0491', '105.8831')	31.52	50	5.02	1003	05/07/2021 14:00	15	5.0	11.0	15.0	6.0	8.0	8.0	1
Hà Nội	('21.0491', '105.8831')	28.01	49	3.85	1001	05/07/2021 13:00	12	7.0	11.0	12.0	7.0	9.0	8.0	1
Hà Nội	('21.0491', '105.8831')	30.01	65	3.67	1002	06/07/2021 07:00	34	15.0	11.0	29.0	24.0	34.0	8.0	1
Hà Nội	('21.0491', '105.8831')	29.01	70	3.85	1003	06/07/2021 06:00	30	15.0	11.0	26.0	20.0	30.0	8.0	1
Hà Nội	('21.0491', '105.8831')	29.01	73	2.14	1005	06/07/2021 05:00	29	7.0	11.0	27.0	20.0	29.0	8.0	1
Hà Nội	('21.0491', '105.8831')	28.01	75	3.11	1005	06/07/2021 04:00	29	5.0	11.0	27.0	20.0	29.0	8.0	1
Hà Nội	('21.0491', '105.8831')	28.01	79	3.85	1004	06/07/2021 03:00	27	5.0	11.0	26.0	19.0	27.0	8.0	1
Hà Nội	('21.0491', '105.8831')	33.01	61	5.8	1002	06/07/2021 18:00	12	11.0	11.0	12.0	9.0	8.0	8.0	1
Hà Nội	('21.0491', '105.8831')	34.01	54	3.85	1003	06/07/2021 17:00	18	10.0	11.0	18.0	11.0	9.0	8.0	1
Phú Thọ	('21.33847', '105.3673')	30.92	68	0.94	1003	04/07/2021 07:00	36		1.0	9.0	19.0	36.0		1
Phú Thọ	('21.33847', '105.3673')	30.92	69	0.75	1004	04/07/2021 06:00	36		1.0	14.0	18.0	36.0		1
Phú Thọ	('21.33847', '105.3673')	31.53	70	0.84	1002	04/07/2021 05:00	37		2.0	11.0	19.0	37.0		1
Phú Thọ	('21.33847', '105.3673')	30.92	69	1.01	1002	04/07/2021 04:00	35		3.0	14.0	18.0	35.0		1
Phú Thọ	('21.33847', '105.3673')	30.32	73	1.33	1002	04/07/2021 03:00	32		3.0	16.0	16.0	32.0		1
Phú Thọ	('21.33847', '105.3673')	39.12	72	1.54	1003	04/07/2021 02:00	27		5.0	18.0	14.0	27.0		1
Phú Thọ	('21.33847', '105.3673')	27.42	54	3.54	1003	05/07/2021 14:00	22		3.0	22.0	5.0	9.0		1
Phú Thọ	('21.33847', '105.3673')	30.12	76	3.54	1002	05/07/2021 13:00	28		3.0	28.0	6.0	10.0		1
Phú Thọ	('21.33847', '105.3673')	30.12	65	2.68	1004	06/07/2021 07:00	23		3.0	8.0	12.0	23.0		1
Phú Thọ	('21.33847', '105.3673')	29.52	69	1.54	1002	06/07/2021 06:00	18		3.0	8.0	10.0	18.0		1
Phú Thọ	('21.33847', '105.3673')	28.12	73	2.44	1005	06/07/2021 05:00	17		4.0	10.0	9.0	17.0		1
Phú Thọ	('21.33847', '105.3673')	27.66	77	1.76	1003	06/07/2021 04:00	19		4.0	12.0	10.0	19.0		1
Phú Thọ	('21.33847', '105.3673')	27.12	80	1.57	1002	06/07/2021 03:00	21		5.0	19.0	11.0	21.0		1
Phú Thọ	('21.33847', '105.3673')	32.92	61	2.67	1002	06/07/2021 18:00	36		6.0	36.0	6.0	11.0		1
Phú Thọ	('21.33847', '105.3673')	33.12	58	1.57	1002	06/07/2021 17:00	35		5.0	35.0	6.0	12.0		1
Quảng Ninh	('21.006517', '107.344252')	32.06	66	2.73	1002	04/07/2021 06:00	61	9.0		20.0	2.0	5.0	61.0	1
Quảng Ninh	('21.006517', '107.344252')	31.06	69	3.13	1003	04/07/2021 05:00	59	8.0		20.0	2.0	5.0	59.0	1
Quảng Ninh	('21.006517', '107.344252')	30.06	73	3.32	1002	04/07/2021 04:00	60	9.0		20.0	2.0	3.0	60.0	1
Quảng Ninh	('21.006517', '107.344252')	29.06	74	3.83	1002	04/07/2021 03:00	59	8.0		20.0	2.0	4.0	59.0	1
Quảng Ninh	('21.006517', '107.344252')	29.06	76	4.52	1002	04/07/2021 02:00	60	9.0		20.0	2.0	4.0	60.0	1
Quảng Ninh	('21.006517', '107.344252')	29.06	75	3.83	1004	04/07/2021 01:00	60	9.0		20.0	2.0	6.0	60.0	1
Quảng Ninh	('21.006517', '107.344252')	31.06	50	5.9	1003	05/07/2021 13:00	62	8.0		20.0	1.0	2.0	62.0	1
Quảng Ninh	('21.006517', '107.344252')	27.06	49	4.85	1004	05/07/2021 12:00	62	8.0		20.0	1.0	2.0	62.0	1
Quảng Ninh	('21.006517', '107.344252')	31.06	65	2.85	1004	06/07/2021 06:00	63	8.0		20.0	2.0	5.0	63.0	1
Quảng Ninh	('21.006517', '107.344252')	30.06	69	2.45	1004	06/07/2021 05:00	62	8.0		20.0	2.0	4.0	62.0	1
Quảng Ninh	('21.006517', '107.344252')	30.06	73	2.15	1003	06/07/2021 04:00	62	8.0		20.0	1.0	2.0	62.0	1
Quảng Ninh	('21.006517', '107.344252')	29.06	76	3.85	1004	06/07/2021 03:00	62	8.0		20.0	1.0	2.0	62.0	1
Quảng Ninh	('21.006517', '107.344252')	28.06	79	3.35	1005	06/07/2021 02:00	62	8.0		20.0	1.0	2.0	62.0	1
Quảng Ninh	('21.006517', '107.344252')	32.02	61	2.67	1002	06/07/2021 17:00	66	9.0		18.0	2.0	4.0	66.0	1
Quảng Ninh	('21.006517', '107.344252')	33.06	56	5.35	1005	06/07/2021 16:00	65	8.0		19.0	2.0	6.0	65.0	1
Thái Nguyên	('21.593151', '105.8431043')	30.88	68	1.9	1003	04/07/2021 07:00	53	6.0	12.0		42.0	53.0	11.0	1
Thái Nguyên	('21.593151', '105.8431043')	30.88	68	1.66	1002	04/07/2021 06:00	52	5.0	15.0		42.0	52.0	13.0	1
Thái Nguyên	('21.593151', '105.8431043')	30.88	69	2.31	1003	04/07/2021 05:00	72	5.0	15.0		54.0	72.0	13.0	1
Thái Nguyên	('21.593151', '105.8431043')	29.88	70	1.31	1004	04/07/2021 04:00	99	5.0	15.0		62.0	99.0	10.0	1
Thái Nguyên	('21.593151', '105.8431043')	28.88	76	2.55	1003	04/07/2021 03:00	116	6.0	15.0		66.0	116.0	10.0	1
Thái Nguyên	('21.593151', '105.8431043')	28.88	74	1.55	1003	04/07/2021 02:00	125	6.0	13.0		67.0	125.0	8.0	1
Thái Nguyên	('21.593151', '105.8431043')	30.32	61	3.55	1003	05/07/2021 14:00	43	8.0	4.0		36.0	43.0	7.0	1
Thái Nguyên	('21.593151', '105.8431043')	26.88	64	3.19	1003	05/07/2021 13:00	48	4.0	3.0		40.0	48.0	5.0	1
Thái Nguyên	('21.593151', '105.8431043')	29.88	89	1.19	1003	06/07/2021 07:00	83	7.0	11.0		52.0	83.0	6.0	1
Thái Nguyên	('21.593151', '105.8431043')	28.88	88	2.19	1003	06/07/2021 06:00	84	6.0	12.0		54.0	84.0	6.0	1
Thái Nguyên	('21.593151', '105.8431043')	27.88	90	2.19	1003	06/07/2021 05:00	101	7.0	10.0		60.0	101.0	6.0	1
Thái Nguyên	('21.593151', '105.8431043')	27.88	88	1.19	1003	06/07/2021 04:00	109	7.0	10.0		63.0	109.0	5.0	1
Thái Nguyên	('21.593151', '105.8431043')	26.88	89	2.19	1003	06/07/2021 03:00	117	6.0	9.0		65.0	117.0	5.0	1
Thái Nguyên	('21.593151', '105.8431043')	33.88	69	3.79	1004	06/07/2021 18:00	66	6.0	8.0		53.0	66.0	7.0	1
Thái Nguyên	('21.593151', '105.8431043')	32.88	63	2.19	1003	06/07/2021 17:00	54	5.0	8.0		45.0	54.0	10.0	1
Tp. Hồ Chí Minh	('10.65961', '106.727916')	31.01	79	1.54	1009	03/07/2021 08:00	23				23.0	21.0		3
Cần Thơ	('10.026977', '105.768249')	29.99	79	1.54	1009	03/07/2021 08:00	21				21.0	19.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	32.01	70	1.54	1009	03/07/2021 09:00	24				24.0	23.0		3
Cần Thơ	('10.026977', '105.768249')	30.99	79	2.06	1009	03/07/2021 09:00	19				19.0	16.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	34.01	62	2.57	1008	03/07/2021 10:00	26				26.0	25.0		3
Cần Thơ	('10.026977', '105.768249')	31.99	70	2.57	1008	03/07/2021 10:00	17				17.0	13.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	34.01	59	1.03	1007	03/07/2021 11:00	25				25.0	22.0		3
Cần Thơ	('10.026977', '105.768249')	32.99	62	2.57	1008	03/07/2021 11:00	16				16.0	12.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	34.01	59	1.03	1007	03/07/2021 12:00	26				26.0	22.0		3
Cần Thơ	('10.026977', '105.768249')	32.99	62	2.57	1008	03/07/2021 12:00	14				14.0	11.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	36.01	49	3.09	1006	03/07/2021 13:00	28				28.0	22.0		3
Cần Thơ	('10.026977', '105.768249')	33.99	62	3.6	1006	03/07/2021 13:00	13				13.0	10.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	36.01	46	2.57	1005	03/07/2021 14:00	27				27.0	20.0		3
Cần Thơ	('10.026977', '105.768249')	32.99	62	4.12	1006	03/07/2021 14:00	18				18.0	13.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	35.01	49	2.06	1004	03/07/2021 15:00	26				26.0	18.0		3
Cần Thơ	('10.026977', '105.768249')	30.99	70	2.57	1005	03/07/2021 15:00	27				27.0	19.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	34.01	55	2.57	1004	03/07/2021 16:00	37				37.0	20.0		3
Cần Thơ	('10.026977', '105.768249')	30.99	70	3.09	1005	03/07/2021 16:00	31				31.0	26.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	31.01	66	2.57	1005	03/07/2021 17:00	30				30.0	17.0		3
Cần Thơ	('10.026977', '105.768249')	29.99	74	2.57	1005	03/07/2021 17:00	36				36.0	35.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	29.01	84	5.66	1005	03/07/2021 18:00	23				23.0	16.0		3
Cần Thơ	('10.026977', '105.768249')	28.99	79	1.54	1005	03/07/2021 18:00	33				32.0	33.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	29.01	74	1.54	1006	03/07/2021 19:00	23				23.0	17.0		3
Cần Thơ	('10.026977', '105.768249')	28.99	84	2.06	1007	03/07/2021 19:00	35				32.0	35.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	29.01	74	3.09	1006	03/07/2021 20:00	20				20.0	15.0		3
Cần Thơ	('10.026977', '105.768249')	27.99	89	2.57	1007	03/07/2021 20:00	35				30.0	35.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	29.01	74	3.09	1007	03/07/2021 21:00	25				25.0	15.0		3
Cần Thơ	('10.026977', '105.768249')	27.99	89	2.06	1007	03/07/2021 21:00	33				28.0	33.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	29.01	79	2.06	1008	03/07/2021 22:00	28				28.0	15.0		3
Cần Thơ	('10.026977', '105.768249')	27.99	89	1.54	1007	03/07/2021 22:00	28				24.0	28.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	29.01	84	3.09	1007	03/07/2021 23:00	40				40.0	17.0		3
Cần Thơ	('10.026977', '105.768249')	26.99	94	2.06	1008	03/07/2021 23:00	28				23.0	28.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	31.01	84	2.57	1008	04/07/2021 08:00	25				25.0	18.0		3
Cần Thơ	('10.026977', '105.768249')	27.99	89	3.6	1008	04/07/2021 08:00	15				15.0	12.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	31.01	89	3.6	1008	04/07/2021 09:00	20				20.0	15.0		3
Cần Thơ	('10.026977', '105.768249')	30.99	84	4.12	1008	04/07/2021 09:00	14				14.0	12.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	32.01	74	3.09	1007	04/07/2021 10:00	17				17.0	13.0		3
Cần Thơ	('10.026977', '105.768249')	32.99	70	3.09	1007	04/07/2021 10:00	12				12.0	10.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	89	4.12	1007	04/07/2021 11:00	15				15.0	12.0		3
Cần Thơ	('10.026977', '105.768249')	32.99	70	4.12	1007	04/07/2021 11:00	12				12.0	9.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	30.01	89	1.54	1006	04/07/2021 12:00	15				15.0	11.0		3
Cần Thơ	('10.026977', '105.768249')	31.99	74	4.12	1006	04/07/2021 12:00	12				12.0	9.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	29.01	94	1.54	1005	04/07/2021 13:00	15				15.0	11.0		3
Cần Thơ	('10.026977', '105.768249')	28.99	70	5.66	1005	04/07/2021 13:00	12				12.0	10.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	30.01	89	1.03	1004	04/07/2021 14:00	18				18.0	14.0		3
Cần Thơ	('10.026977', '105.768249')	28.99	74	3.09	1005	04/07/2021 14:00	13				13.0	12.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	33.01	75	3.09	1003	04/07/2021 15:00	28				28.0	18.0		3
Cần Thơ	('10.026977', '105.768249')	27.99	83	2.06	1004	04/07/2021 15:00	19				19.0	19.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	27.01	83	9.26	1006	04/07/2021 16:00	31				31.0	20.0		3
Cần Thơ	('10.026977', '105.768249')	27.99	89	0.51	1005	04/07/2021 16:00	23				23.0	23.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	69	4.63	1006	04/07/2021 17:00	26				26.0	14.0		3
Cần Thơ	('10.026977', '105.768249')	27.99	94	0.0	1005	04/07/2021 17:00	26				24.0	26.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	27.01	83	0.51	1005	04/07/2021 18:00	20				20.0	10.0		3
Cần Thơ	('10.026977', '105.768249')	27.99	94	0.51	1006	04/07/2021 18:00	39				33.0	39.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	27.01	83	2.06	1006	04/07/2021 19:00	27				27.0	24.0		3
Cần Thơ	('10.026977', '105.768249')	26.99	89	1.54	1006	04/07/2021 19:00	42				35.0	42.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	74	2.57	1007	04/07/2021 20:00	22				22.0	18.0		3
Cần Thơ	('10.026977', '105.768249')	26.99	89	1.54	1007	04/07/2021 20:00	48				40.0	48.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	83	1.54	1007	04/07/2021 21:00	35				35.0	34.0		3
Cần Thơ	('10.026977', '105.768249')	26.99	89	0.51	1007	04/07/2021 21:00	43				35.0	43.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	89	1.54	1007	04/07/2021 22:00	33				33.0	25.0		3
Cần Thơ	('10.026977', '105.768249')	26.99	89	2.06	1007	04/07/2021 22:00	38				30.0	38.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	89	0.51	1007	04/07/2021 23:00	27				27.0	19.0		3
Cần Thơ	('10.026977', '105.768249')	26.99	89	2.06	1006	04/07/2021 23:00	31				27.0	31.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	30.01	84	1.03	1007	05/07/2021 10:00	33				33.0	26.0		3
Cần Thơ	('10.026977', '105.768249')	31.99	70	3.6	1006	05/07/2021 10:00	18				18.0	13.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	32.01	70	1.03	1006	05/07/2021 11:00	30				30.0	24.0		3
Cần Thơ	('10.026977', '105.768249')	24.99	94	5.66	1006	05/07/2021 11:00	19				19.0	12.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	29.01	79	2.57	1006	05/07/2021 12:00	23				23.0	17.0		3
Cần Thơ	('10.026977', '105.768249')	26.99	89	2.06	1005	05/07/2021 12:00	24				24.0	11.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	27.01	94	4.63	1004	05/07/2021 15:00	9				9.0	7.0		3
Cần Thơ	('10.026977', '105.768249')	24.99	100	1.03	1005	05/07/2021 15:00	19				19.0	15.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	27.01	83	4.12	1005	05/07/2021 16:00	8				8.0	5.0		3
Cần Thơ	('10.026977', '105.768249')	24.99	100	2.06	1006	05/07/2021 16:00	19				19.0	15.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	26.01	100	3.09	1006	05/07/2021 17:00	7				7.0	4.0		3
Cần Thơ	('10.026977', '105.768249')	24.99	100	2.57	1006	05/07/2021 17:00	19				19.0	18.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	26.01	94	3.09	1006	05/07/2021 18:00	10				10.0	6.0		3
Cần Thơ	('10.026977', '105.768249')	24.99	100	2.57	1006	05/07/2021 18:00	16				16.0	15.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	25.01	100	1.54	1006	05/07/2021 19:00	14				14.0	11.0		3
Cần Thơ	('10.026977', '105.768249')	24.99	100	1.54	1007	05/07/2021 19:00	13				13.0	13.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	25.01	100	2.06	1006	05/07/2021 20:00	16				16.0	13.0		3
Cần Thơ	('10.026977', '105.768249')	23.99	100	1.03	1007	05/07/2021 20:00	12				12.0	12.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	25.01	100	1.54	1007	05/07/2021 21:00	22				22.0	21.0		3
Cần Thơ	('10.026977', '105.768249')	23.99	100	1.54	1007	05/07/2021 21:00	13				13.0	11.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	26.01	94	2.57	1007	05/07/2021 22:00	28				26.0	28.0		3
Cần Thơ	('10.026977', '105.768249')	24.99	100	1.54	1006	05/07/2021 22:00	12				12.0	10.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	25.01	100	0.51	1007	05/07/2021 23:00	36				36.0	34.0		3
Cần Thơ	('10.026977', '105.768249')	24.99	100	1.54	1006	05/07/2021 23:00	13				13.0	10.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	30.01	84	3.6	1006	06/07/2021 09:00	35				35.0	28.0		3
Cần Thơ	('10.026977', '105.768249')	25.99	100	3.09	1007	06/07/2021 09:00	20				20.0	13.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	31.01	79	5.14	1006	06/07/2021 10:00	25				25.0	19.0		3
Cần Thơ	('10.026977', '105.768249')	26.99	94	3.09	1007	06/07/2021 10:00	18				18.0	14.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	30.01	89	4.12	1006	06/07/2021 11:00	19				19.0	15.0		3
Cần Thơ	('10.026977', '105.768249')	27.99	89	3.09	1007	06/07/2021 11:00	14				14.0	10.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	27.01	94	9.26	1005	06/07/2021 12:00	16				16.0	11.0		3
Cần Thơ	('10.026977', '105.768249')	26.99	94	5.66	1007	06/07/2021 12:00	10				10.0	8.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	30.01	84	6.17	1004	06/07/2021 13:00	13				13.0	9.0		3
Cần Thơ	('10.026977', '105.768249')	25.99	94	5.66	1006	06/07/2021 13:00	7				7.0	6.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	30.01	79	5.66	1004	06/07/2021 14:00	10				10.0	7.0		3
Cần Thơ	('10.026977', '105.768249')	29.86	70	5.48	1004	06/07/2021 14:00	6				6.0	5.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	29.01	79	5.66	1004	06/07/2021 15:00	10				10.0	6.0		3
Cần Thơ	('10.026977', '105.768249')	24.99	100	5.66	1005	06/07/2021 15:00	6				6.0	4.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	83	4.63	1005	06/07/2021 16:00	9				9.0	6.0		3
Cần Thơ	('10.026977', '105.768249')	25.99	94	4.12	1005	06/07/2021 16:00	6				6.0	4.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	27.01	89	0.51	1006	06/07/2021 19:00	12				12.0	7.0		3
Cần Thơ	('10.026977', '105.768249')	24.99	100	2.06	1006	06/07/2021 19:00	12				12.0	9.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	83	2.57	1007	04/07/2021 00:00	51				51.0	20.0		3
Cần Thơ	('10.026977', '105.768249')	26.99	94	2.06	1007	04/07/2021 00:00	25				21.0	25.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	89	2.57	1006	04/07/2021 01:00	45				45.0	19.0		3
Cần Thơ	('10.026977', '105.768249')	25.36	93	1.46	1007	04/07/2021 01:00	22				19.0	22.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	94	2.06	1006	05/07/2021 00:00	31				31.0	19.0		3
Cần Thơ	('10.026977', '105.768249')	26.99	89	2.06	1006	05/07/2021 00:00	24				23.0	24.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	94	1.54	1006	05/07/2021 01:00	34				34.0	19.0		3
Cần Thơ	('10.026977', '105.768249')	25.99	94	2.06	1005	05/07/2021 01:00	19				19.0	19.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	94	0.0	1005	05/07/2021 02:00	38				38.0	18.0		3
Cần Thơ	('10.026977', '105.768249')	25.99	94	1.54	1005	05/07/2021 02:00	16				16.0	14.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	94	1.54	1005	05/07/2021 03:00	44				44.0	22.0		3
Cần Thơ	('10.026977', '105.768249')	26.99	89	1.03	1005	05/07/2021 03:00	14				14.0	12.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	94	1.54	1005	05/07/2021 04:00	46				46.0	22.0		3
Cần Thơ	('10.026977', '105.768249')	26.99	89	2.06	1005	05/07/2021 04:00	14				14.0	11.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	94	1.54	1005	05/07/2021 05:00	64				64.0	38.0		3
Cần Thơ	('10.026977', '105.768249')	26.99	89	1.03	1005	05/07/2021 05:00	16				16.0	13.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	93	0.71	1006	05/07/2021 06:00	57				57.0	31.0		3
Cần Thơ	('10.026977', '105.768249')	26.99	85	2.62	1006	05/07/2021 06:00	19				19.0	17.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	94	0.51	1006	05/07/2021 07:00	54				54.0	33.0		3
Cần Thơ	('10.026977', '105.768249')	26.99	89	1.54	1006	05/07/2021 07:00	22				22.0	19.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	29.01	94	0.51	1007	05/07/2021 08:00	53				53.0	33.0		3
Cần Thơ	('10.026977', '105.768249')	28.84	76	4.22	1007	05/07/2021 08:00	25				25.0	20.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	30.01	89	1.03	1007	05/07/2021 09:00	40				40.0	27.0		3
Cần Thơ	('10.026977', '105.768249')	29.99	74	3.09	1007	05/07/2021 09:00	22				22.0	17.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	26.01	94	1.03	1006	06/07/2021 00:00	51				51.0	51.0		3
